Time resolution is 1 ps
t=             1463000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=             1482000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=             1487000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1492000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1501000 | sel=0  ena=1  rst=1 | ro_final=0001  entropy=0
t=             1520000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1525000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=             1539000 | sel=0  ena=1  rst=1 | ro_final=0011  entropy=0
t=             1558000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=             1562000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1570000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1577000 | sel=0  ena=1  rst=1 | ro_final=0101  entropy=0
t=             1596000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1600000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=             1615000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=             1617000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=             1634000 | sel=0  ena=1  rst=1 | ro_final=1110  entropy=0
t=             1638000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=             1649000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=             1654000 | sel=0  ena=1  rst=1 | ro_final=1001  entropy=0
t=             1673000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=             1675000 | sel=0  ena=1  rst=1 | ro_final=1010  entropy=0
t=             1692000 | sel=0  ena=1  rst=1 | ro_final=1011  entropy=0
t=             1711000 | sel=0  ena=1  rst=1 | ro_final=1010  entropy=0
t=             1713000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=             1727000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=             1730000 | sel=0  ena=1  rst=1 | ro_final=1101  entropy=0
t=             1749000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=             1751000 | sel=0  ena=1  rst=1 | ro_final=1110  entropy=0
t=             1768000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=             1779000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=             1787000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=             1788000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1805000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1806000 | sel=0  ena=1  rst=1 | ro_final=0001  entropy=0
t=             1825000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1826000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=             1844000 | sel=0  ena=1  rst=1 | ro_final=0011  entropy=0
t=             1863000 | sel=0  ena=1  rst=1 | ro_final=0010  entropy=0
t=             1864000 | sel=0  ena=1  rst=1 | ro_final=0000  entropy=0
t=             1882000 | sel=0  ena=1  rst=1 | ro_final=0001  entropy=0
t=             1883000 | sel=0  ena=1  rst=1 | ro_final=0101  entropy=0
t=             1901000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1901000 | sel=0  ena=1  rst=1 | ro_final=0110  entropy=0
t=             1920000 | sel=0  ena=1  rst=1 | ro_final=0111  entropy=0
t=             1939000 | sel=0  ena=1  rst=1 | ro_final=0101  entropy=0
t=             1939000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             1942000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=             1958000 | sel=0  ena=1  rst=1 | ro_final=1101  entropy=0
t=             1961000 | sel=0  ena=1  rst=1 | ro_final=1001  entropy=0
t=             1977000 | sel=0  ena=1  rst=1 | ro_final=1011  entropy=0
t=             1977000 | sel=0  ena=1  rst=1 | ro_final=1010  entropy=0
t=             1996000 | sel=0  ena=1  rst=1 | ro_final=1011  entropy=0
t=             2014000 | sel=0  ena=1  rst=1 | ro_final=1001  entropy=0
t=             2015000 | sel=0  ena=1  rst=1 | ro_final=1000  entropy=0
t=             2035000 | sel=0  ena=1  rst=1 | ro_final=1001  entropy=0
t=             2039000 | sel=0  ena=1  rst=1 | ro_final=1101  entropy=0
t=             2052000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=             2054000 | sel=0  ena=1  rst=1 | ro_final=1110  entropy=0
t=             2073000 | sel=0  ena=1  rst=1 | ro_final=1111  entropy=0
t=             2090000 | sel=0  ena=1  rst=1 | ro_final=1101  entropy=0
t=             2092000 | sel=0  ena=1  rst=1 | ro_final=1100  entropy=0
t=             2104000 | sel=0  ena=1  rst=1 | ro_final=0100  entropy=0
t=             2111000 | sel=0  ena=1  rst=1 | ro_final=0101  entropy=0
t=             2117000 | sel=0  ena=1  rst=1 | ro_final=0001  entropy=0
Switch to ENTROPY/XOR mode  at              2120000 ns
entropy_out ↑  #  1   @              2120000 ns
t=             2120000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2150000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  2   @              2190000 ns
t=             2190000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2210000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  3   @              2230000 ns
t=             2230000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2290000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  4   @              2310000 ns
t=             2310000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2350000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  5   @              2370000 ns
t=             2370000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2390000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  6   @              2430000 ns
t=             2430000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2490000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  7   @              2510000 ns
t=             2510000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2570000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  8   @              2590000 ns
t=             2590000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2650000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  #  9   @              2670000 ns
t=             2670000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2690000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  # 10   @              2770000 ns
t=             2770000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2790000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  # 11   @              2870000 ns
t=             2870000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             2950000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  # 12   @              3030000 ns
t=             3030000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             3070000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  # 13   @              3130000 ns
t=             3130000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=1
t=             3150000 | sel=1  ena=1  rst=1 | ro_final=0000  entropy=0
entropy_out ↑  # 14   @              3170000 ns
t=             3170000 | sel=1  e
